model,corruption,severity,class,f1
finetune,low_light,1,Potato___Late_blight,0.9876543209876543
finetune,low_light,1,Potato___healthy,0.9090909090909091
finetune,low_light,1,Raspberry___healthy,0.8888888888888888
finetune,low_light,1,Soybean___healthy,0.9484536082474226
finetune,low_light,1,Squash___Powdery_mildew,0.9496402877697842
finetune,low_light,1,Strawberry___Leaf_scorch,0.9565217391304348
finetune,low_light,1,Strawberry___healthy,0.918918918918919
finetune,low_light,1,Tomato___Bacterial_spot,0.411214953271028
finetune,low_light,1,Tomato___Early_blight,0.6206896551724138
finetune,low_light,1,Tomato___Late_blight,0.49504950495049505
finetune,low_light,1,Tomato___Leaf_Mold,0.7333333333333333
finetune,low_light,1,Tomato___Septoria_leaf_spot,0.39775910364145656
finetune,low_light,1,Tomato___Spider_mites_Two-spotted_spider_mite,0.9147286821705426
finetune,low_light,1,Tomato___Target_Spot,0.7872340425531915
finetune,low_light,1,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9881796690307328
finetune,low_light,1,Tomato___Tomato_mosaic_virus,0.896551724137931
finetune,low_light,1,Tomato___healthy,0.7924528301886793
frozen,low_light,1,Apple___Apple_scab,0.84
frozen,low_light,1,Apple___Black_rot,0.8636363636363636
frozen,low_light,1,Apple___Cedar_apple_rust,0.42857142857142855
frozen,low_light,1,Apple___healthy,0.9302325581395349
frozen,low_light,1,Blueberry___healthy,0.926829268292683
frozen,low_light,1,Cherry_(including_sour)___Powdery_mildew,0.7522935779816514
frozen,low_light,1,Cherry_(including_sour)___healthy,0.8275862068965517
frozen,low_light,1,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.975609756097561
frozen,low_light,1,Corn_(maize)___Common_rust_,1.0
frozen,low_light,1,Corn_(maize)___Northern_Leaf_Blight,0.9047619047619048
frozen,low_light,1,Corn_(maize)___healthy,1.0
frozen,low_light,1,Grape___Black_rot,0.8666666666666667
frozen,low_light,1,Grape___Esca_(Black_Measles),0.972972972972973
frozen,low_light,1,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9397590361445783
frozen,low_light,1,Grape___healthy,0.5217391304347826
frozen,low_light,1,Orange___Haunglongbing_(Citrus_greening),0.9649122807017544
frozen,low_light,1,Peach___Bacterial_spot,0.8914285714285715
frozen,low_light,1,Peach___healthy,0.6842105263157895
frozen,low_light,1,"Pepper,_bell___Bacterial_spot",0.6129032258064516
frozen,low_light,1,"Pepper,_bell___healthy",0.8709677419354839
frozen,low_light,1,Potato___Early_blight,0.8115942028985508
frozen,low_light,1,Potato___Late_blight,0.8048780487804879
frozen,low_light,1,Potato___healthy,0.9230769230769231
frozen,low_light,1,Raspberry___healthy,0.8461538461538461
frozen,low_light,1,Soybean___healthy,0.9828009828009828
frozen,low_light,1,Squash___Powdery_mildew,0.8253968253968254
frozen,low_light,1,Strawberry___Leaf_scorch,0.9885057471264368
frozen,low_light,1,Strawberry___healthy,0.9444444444444444
frozen,low_light,1,Tomato___Bacterial_spot,0.6923076923076923
