model,corruption,severity,class,f1,clean_f1,f1_drop
frozen,low_light,2,"Pepper,_bell___Bacterial_spot",0.4677419354838709,0.951219512195122,0.48347757671125113
frozen,low_light,2,Grape___healthy,0.5217391304347826,1.0,0.4782608695652174
frozen,low_light,1,Grape___healthy,0.5217391304347826,1.0,0.4782608695652174
finetune,low_light,2,"Pepper,_bell___healthy",0.5227272727272727,1.0,0.4772727272727273
finetune,jpeg,3,Squash___Powdery_mildew,0.5252525252525253,1.0,0.4747474747474747
finetune,motion_blur,3,Apple___Black_rot,0.5294117647058824,1.0,0.47058823529411764
frozen,low_light,3,Peach___healthy,0.4210526315789473,0.8888888888888888,0.46783625730994155
frozen,jpeg,3,Grape___healthy,0.5333333333333333,1.0,0.4666666666666667
finetune,low_light,2,"Pepper,_bell___Bacterial_spot",0.5333333333333333,1.0,0.4666666666666667
frozen,motion_blur,3,Peach___healthy,0.4242424242424242,0.8888888888888888,0.46464646464646464
finetune,motion_blur,3,Tomato___Late_blight,0.5307692307692308,0.9934640522875816,0.46269482151835084
frozen,jpeg,2,Tomato___Early_blight,0.3692307692307692,0.8266666666666667,0.45743589743589746
frozen,motion_blur,3,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5222929936305732,0.976851851851852,0.4545588582212787
frozen,jpeg,3,Potato___healthy,0.5454545454545454,1.0,0.4545454545454546
finetune,low_light,3,Grape___Esca_(Black_Measles),0.5476190476190477,1.0,0.45238095238095233
frozen,jpeg,3,Tomato___healthy,0.5208333333333334,0.9692307692307692,0.44839743589743586
frozen,low_light,3,Grape___Esca_(Black_Measles),0.5569620253164557,1.0,0.44303797468354433
frozen,jpeg,3,Potato___Late_blight,0.509090909090909,0.95,0.4409090909090909
finetune,motion_blur,2,Apple___Apple_scab,0.56,1.0,0.43999999999999995
finetune,motion_blur,2,Strawberry___healthy,0.56,1.0,0.43999999999999995
finetune,jpeg,3,Tomato___Septoria_leaf_spot,0.5656565656565656,1.0,0.43434343434343436
frozen,jpeg,2,Apple___Cedar_apple_rust,0.5185185185185185,0.9523809523809524,0.43386243386243395
frozen,low_light,2,Tomato___Septoria_leaf_spot,0.5033112582781457,0.9361702127659576,0.43285895448781186
frozen,jpeg,3,Tomato___Spider_mites_Two-spotted_spider_mite,0.4968944099378882,0.927536231884058,0.4306418219461698
finetune,jpeg,3,Tomato___Tomato_mosaic_virus,0.5714285714285714,1.0,0.4285714285714286
frozen,low_light,2,Raspberry___healthy,0.5714285714285714,1.0,0.4285714285714286
frozen,jpeg,3,Tomato___Late_blight,0.4910179640718562,0.9171974522292994,0.42617948815744316
finetune,motion_blur,2,Tomato___Septoria_leaf_spot,0.5742574257425742,1.0,0.4257425742574258
frozen,motion_blur,2,Grape___healthy,0.5833333333333334,1.0,0.41666666666666663
finetune,jpeg,3,Tomato___Spider_mites_Two-spotted_spider_mite,0.5871559633027523,1.0,0.4128440366972477
finetune,motion_blur,2,Tomato___Early_blight,0.5894736842105263,1.0,0.41052631578947374
frozen,low_light,2,Tomato___Target_Spot,0.48,0.8888888888888888,0.40888888888888886
frozen,jpeg,3,Cherry_(including_sour)___Powdery_mildew,0.5714285714285714,0.975609756097561,0.40418118466898956
frozen,motion_blur,3,Corn_(maize)___Northern_Leaf_Blight,0.5833333333333334,0.9873417721518988,0.4040084388185654
frozen,motion_blur,2,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5745257452574526,0.976851851851852,0.4023261065943994
frozen,motion_blur,2,Tomato___Tomato_mosaic_virus,0.5652173913043478,0.9655172413793104,0.4002998500749626
frozen,jpeg,2,Tomato___Septoria_leaf_spot,0.5358851674641149,0.9361702127659576,0.4002850453018427
finetune,low_light,2,Peach___healthy,0.6,1.0,0.4
finetune,jpeg,2,Potato___healthy,0.6,1.0,0.4
frozen,motion_blur,2,Apple___Apple_scab,0.6,1.0,0.4
